,item_name,spk,txt,ph,wav_fn,others
10,11,SPK1,引才要筛。用才也要筛.,<BOS> y in3 | c ai2 # y ao4 # sh ai1 | y ong4 # c ai2 # y e3 # y ao4 # sh ai1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000010_000011.wav,{}
11,12,SPK1,南越昆仑山与西藏接壤.,<BOS> n an2 | y ue4 # k un1 | l un2 | sh an1 # y u3 # x i1 | z ang4 # j ie1 | r ang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000011_000012.wav,{}
12,13,SPK1,翁凯兰防乳腺癌宣传照.,<BOS> w eng1 | k ai3 | l an2 | f ang2 # r u3 | x ian4 | ai2 # x uan1 | ch uan2 | zh ao4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000012_000013.wav,{}
13,14,SPK1,我回右哼哼左哼哼.,<BOS> w o3 # h ui2 | y ou4 # h eng1 | h eng # z uo3 # h eng1 | h eng <EOS>,data/processed/biaobei/mfa_inputs/0/0000013_000014.wav,{}
14,15,SPK1,吴云宝奶奶挑选枇杷.,<BOS> w u2 | y un2 | b ao3 # n ai3 | n ai # t iao1 | x uan3 # p i2 | p a2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000014_000015.wav,{}
15,16,SPK1,此外广本也将由少壮派掌管.,<BOS> c i3 | w ai4 # g uang3 | b en3 # y e3 # j iang1 # y ou2 # sh ao4 | zh uang4 | p ai4 # zh ang3 | g uan3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000015_000016.wav,{}
16,17,SPK1,右蛮舞袅袅。左琼歌昔昔.,<BOS> y ou4 | m an2 # w u3 # n iao3 | n iao3 | z uo3 | q iong2 | g e1 # x i1 | x i1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000016_000017.wav,{}
17,18,SPK1,眼眶宽阔而低矮。鼻短而宽.,<BOS> y an3 | k uang4 # k uan1 | k uo4 # er2 # d i1 | ai3 | b i2 | d uan3 # er2 # k uan1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000017_000018.wav,{}
18,19,SPK1,霞浦县牙城镇乌岐瓦窑村水位猛涨.,<BOS> x ia2 | p u3 | x ian4 # y a2 # ch eng2 | zh en4 # w u1 | q i2 | w a3 # y ao2 | c un1 # sh ui3 | w ei4 # m eng3 | zh ang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000018_000019.wav,{}
19,20,SPK1,霍思燕露背秀乳沟性感惹火.,<BOS> h uo4 | s i1 | y an4 # l u4 | b ei4 # x iu4 # r u3 | g ou1 # x ing4 | g an3 # r e3 | h uo3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000019_000020.wav,{}
20,21,SPK1,也可以给本委员反映哟.,<BOS> y e3 # k e3 | y i3 # g ei3 # b en3 # w ei3 | y uan2 # f an3 | y ing4 # y o <EOS>,data/processed/biaobei/mfa_inputs/0/0000020_000021.wav,{}
21,22,SPK1,摇篮牌钙维健婴儿配方奶粉.,<BOS> y ao2 | l an2 # p ai2 | g ai4 | w ei2 | j ian4 # y ing1 | er2 # p ei4 | f ang1 # n ai3 | f en3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000021_000022.wav,{}
22,23,SPK1,鄂豫鲁皖苏局地大暴雨.,<BOS> e4 | y u4 | l u3 | w an3 # s u1 # j u2 | d i4 # d a4 | b ao4 | y u3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000022_000023.wav,{}
23,24,SPK1,以下为薛蛮子观点摘要.,<BOS> y i3 | x ia4 # w ei2 # x ue1 # m an2 | z i # g uan1 | d ian3 # zh ai1 | y ao4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000023_000024.wav,{}
24,25,SPK1,沉鱼落雁。闭月羞花.,<BOS> ch en2 | y u2 | l uo4 | y an4 | b i4 | y ue4 | x iu1 | h ua1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000024_000025.wav,{}
25,26,SPK1,而许冠英亦将于明日出殡.,<BOS> er2 # x u3 | g uan4 | y ing1 # y i4 # j iang1 # y u2 # m ing2 | r i4 # ch u1 | b in4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000025_000026.wav,{}
26,27,SPK1,阿娇与百位鬼粉丝狂欢.,<BOS> a1 | j iao1 # y u3 # b ai3 | w ei4 # g ui3 # f en3 | s i1 # k uang2 | h uan1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000026_000027.wav,{}
27,28,SPK1,房屋买卖契约和收条.,<BOS> f ang2 | w u1 | m ai3 | m ai4 # q i4 | y ue1 # h e2 # sh ou1 | t iao2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000027_000028.wav,{}
28,29,SPK1,遛弯儿都得躲远点.,<BOS> l iu4 | w an1 | er # d ou1 # d ei3 # d uo3 # y uan3 | d ian3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000028_000029.wav,{}
29,30,SPK1,黑熊闯进王明辉家后院觅食.,<BOS> h ei1 | x iong2 # ch uang3 | j in4 # w ang2 | m ing2 # h ui1 | j ia1 # h ou4 | y uan4 # m i4 | sh i2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000029_000030.wav,{}
30,31,SPK1,吴亚军与丈夫蔡奎.,<BOS> w u2 # y a4 | j un1 # y u3 # zh ang4 | f u1 # c ai4 | k ui2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000030_000031.wav,{}
31,32,SPK1,亚硝酸盐味微咸。易溶于水.,<BOS> y a4 | x iao1 | s uan1 | y an2 # w ei4 # w ei1 | x ian2 | y i4 | r ong2 # y u2 | sh ui3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000031_000032.wav,{}
32,33,SPK1,院墙被石棉瓦遮掩上了.,<BOS> y uan4 | q iang2 # b ei4 # sh i2 | m ian2 | w a3 # zh e1 | y an3 # sh ang4 # l e <EOS>,data/processed/biaobei/mfa_inputs/0/0000032_000033.wav,{}
33,34,SPK1,成荫挑选我演赵玉敏.,<BOS> ch eng2 | y in1 # t iao1 | x uan3 # w o3 | y an3 # zh ao4 | y u4 | m in3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000033_000034.wav,{}
34,35,SPK1,寅吃卯粮。无异于饮鸩止渴.,<BOS> y in2 | ch i1 | m ao3 | l iang2 | w u2 | y i4 | y u2 # y in3 | zh en4 | zh i3 | k e3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000034_000035.wav,{}
35,36,SPK1,驴子越跑越快。越跑越疯狂.,<BOS> l v2 | z i # y ue4 # p ao3 # y ue4 # k uai4 | y ue4 # p ao3 # y ue4 # f eng1 | k uang2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000035_000036.wav,{}
36,37,SPK1,揶揄得孙垚差点背过气儿.,<BOS> y e2 | y u2 # d e # s un1 # y ao2 # ch a4 | d ian3 # b ei4 | g uo4 # q i4 | er2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000036_000037.wav,{}
37,38,SPK1,光棍节营销应运而生.,<BOS> g uang1 | g un4 | j ie2 # y ing2 | x iao1 # y ing4 | y un4 | er2 | sh eng1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000037_000038.wav,{}
38,39,SPK1,高压铁塔下的低矮棚屋.,<BOS> g ao1 | y a1 # t ie3 | t a3 # x ia4 # d e # d i1 | ai3 # p eng2 | w u1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000038_000039.wav,{}
39,40,SPK1,电影海报贫民窟百万富翁.,<BOS> d ian4 | y ing3 | h ai3 | b ao4 # p in2 | m in2 | k u1 # b ai3 | w an4 | f u4 | w eng1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000039_000040.wav,{}
40,41,SPK1,刁维列已被另案处理.,<BOS> d iao1 | w ei2 | l ie4 # y i3 # b ei4 # l ing4 | an4 | ch u3 | l i3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000040_000041.wav,{}
41,42,SPK1,云雾有时宛如玉带平卧峰峦山涧。有时炊烟袅绕。薄雾轻旋.,<BOS> y un2 | w u4 # y ou3 | sh i2 # w an3 | r u2 # y u4 | d ai4 # p ing2 | w o4 # f eng1 | l uan2 # sh an1 | j ian4 | y ou3 | sh i2 # ch ui1 | y an1 # n iao3 | r ao4 | b o2 | w u4 # q ing1 | x uan2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000041_000042.wav,{}
42,43,SPK1,嘴巴周围略微肿起.,<BOS> z ui3 | b a1 # zh ou1 | w ei2 # l ve4 | w ei1 # zh ong3 | q i3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000042_000043.wav,{}
43,44,SPK1,欢声笑语洒满村庄.,<BOS> h uan1 | sh eng1 | x iao4 | y u3 # s a3 | m an3 # c un1 | zh uang1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000043_000044.wav,{}
44,45,SPK1,沙场竟殒命。壮志也无违.,<BOS> sh a1 | ch ang3 # j ing4 # y un3 | m ing4 | zh uang4 | zh i4 # y e3 # w u2 | w ei2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000044_000045.wav,{}
45,46,SPK1,油炸豆腐喷喷香。馓子麻花嘣嘣脆。姊妹团子数二姜.,<BOS> y ou2 | zh a2 # d ou4 | f u3 # p en1 | p en1 | x iang1 | s an3 | z i # m a2 | h ua1 # b eng1 # b eng1 # c ui4 | z i3 | m ei4 # t uan2 | z i # sh u4 | er4 | j iang1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000045_000046.wav,{}
46,47,SPK1,本山也真太抠门儿了.,<BOS> b en3 | sh an1 # y e3 # zh en1 # t ai4 # k ou1 | m en2 | er # l e <EOS>,data/processed/biaobei/mfa_inputs/0/0000046_000047.wav,{}
47,48,SPK1,蔺东英的住院病案.,<BOS> l in4 | d ong1 | y ing1 # d e # zh u4 | y uan4 # b ing4 | an4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000047_000048.wav,{}
48,49,SPK1,犬必须拴养或圈养.,<BOS> q uan3 # b i4 | x u1 # sh uan1 # y ang3 # h uo4 # j uan4 | y ang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000048_000049.wav,{}
49,50,SPK1,赫莉和印度大亨阿郎奈尔已经分居数月.,<BOS> h e4 | l i4 # h e2 # y in4 | d u4 # d a4 | h eng1 # a1 | l ang2 # n ai4 | er3 # y i3 | j ing1 # f en1 | j u1 # sh u4 | y ue4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000049_000050.wav,{}
50,51,SPK1,难兄难弟要好好切磋切磋.,<BOS> n an4 | x iong1 | n an4 | d i4 # y ao4 # h ao3 | h ao3 # q ie1 | c uo1 # q ie1 | c uo1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000050_000051.wav,{}
51,52,SPK1,小军大腿内侧淤青.,<BOS> x iao3 # j un1 # d a4 | t ui3 # n ei4 | c e4 # y u1 | q ing1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000051_000052.wav,{}
52,53,SPK1,以及雌雄孔子鸟复原图.,<BOS> y i3 | j i2 # c i2 | x iong2 # k ong3 | z i3 # n iao3 # f u4 | y uan2 # t u2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000052_000053.wav,{}
53,54,SPK1,与女演员拍吻戏。陈小春不怕应采儿吃醋.,<BOS> y u3 # n v3 | y an3 | y uan2 # p ai1 # w en3 # x i4 | ch en2 | x iao3 | ch un1 # b u2 | p a4 # y ing1 # c ai3 | er2 # ch i1 | c u4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000053_000054.wav,{}
54,55,SPK1,仿针织粗花呢等印花面料的巧妙运用.,<BOS> f ang3 # zh en1 | zh i1 # c u1 | h ua1 | n i2 # d eng3 # y in4 | h ua1 # m ian4 | l iao4 # d e # q iao3 | m iao4 # y un4 | y ong4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000054_000055.wav,{}
55,56,SPK1,与约瑟夫贴面搂抱.,<BOS> y u3 # y ue1 | s e4 | f u1 # t ie1 | m ian4 # l ou3 | b ao4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000055_000056.wav,{}
56,57,SPK1,努尔别尔德耶娃请周永康转达对吴邦国委员长的亲切问候.,<BOS> n u3 | er3 # b ie2 # er3 | d e2 # y e1 | w a2 # q ing3 # zh ou1 | y ong3 | k ang1 # zh uan3 | d a2 # d ui4 # w u2 | b ang1 | g uo2 # w ei3 | y uan2 | zh ang3 # d e # q in1 | q ie4 # w en4 | h ou4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000056_000057.wav,{}
57,58,SPK1,金友庄瞒儿下周捐肾.,<BOS> j in1 | y ou3 # zh uang1 | m an2 | er2 # x ia4 | zh ou1 # j uan1 # sh en4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000057_000058.wav,{}
58,59,SPK1,我我我我我我和胖子一起.,<BOS> w o3 # w o3 # w o3 # w o3 # w o3 # w o3 # h e2 # p ang4 | z i # y i4 | q i3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000058_000059.wav,{}
59,60,SPK1,嫂嫂给做的莜面窝窝和羊肉炖山药.,<BOS> s ao3 | s ao3 # g ei3 # z uo4 # d e # y ou2 | m ian4 # w o1 | w o1 # h e2 # y ang2 | r ou4 # d un4 # sh an1 | y ao4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000059_000060.wav,{}
60,61,SPK1,曼萨尼约港口被关闭.,<BOS> m an4 | s a4 # n i2 | y ue1 # g ang3 | k ou3 # b ei4 # g uan1 | b i4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000060_000061.wav,{}
61,62,SPK1,廖碧儿马雅舒和老公晒恩爱.,<BOS> l iao4 | b i4 | er2 # m a3 | y a3 # sh u1 # h e2 # l ao3 | g ong1 # sh ai4 # en1 | ai4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000061_000062.wav,{}
62,63,SPK1,袜子摊小老板陈永全.,<BOS> w a4 | z i # t an1 | x iao3 # l ao3 | b an3 # ch en2 | y ong3 | q uan2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000062_000063.wav,{}
63,64,SPK1,合计筹资一点一二九一五五亿元.,<BOS> h e2 | j i4 # ch ou2 | z i1 # y i4 | d ian3 # y i1 | er4 | j iu3 # y i1 # w u3 | w u3 # y i4 | y uan2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000063_000064.wav,{}
64,65,SPK1,鸟儿喳喳。奏起晨曲.,<BOS> n iao3 | er # zh a1 | zh a1 | z ou4 | q i3 # ch en2 | q u3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000064_000065.wav,{}
65,66,SPK1,体强壮而后学问道德之进修勇而收效远.,<BOS> t i3 # q iang2 | zh uang4 # er2 | h ou4 # x ue2 | w en4 # d ao4 | d e2 # zh i1 # j in4 | x iu1 # y ong3 | er2 # sh ou1 | x iao4 # y uan3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000065_000066.wav,{}
66,67,SPK1,网购或网搜股民信息。以高回报为饵请君入瓮.,<BOS> w ang3 | g ou4 # h uo4 # w ang3 # s ou1 # g u3 | m in2 # x in4 | x i1 | y i3 # g ao1 | h ui2 | b ao4 # w ei2 # er3 # q ing3 | j un1 | r u4 | w eng4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000066_000067.wav,{}
67,68,SPK1,图为凯姆博伊斜线冲刺.,<BOS> t u2 | w ei2 # k ai3 | m u3 | b o2 | y i1 # x ie2 | x ian4 # ch ong1 | c i4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000067_000068.wav,{}
68,69,SPK1,即将钓鱼台黄尾屿赤屿三岛赏给盛宣怀为产业。供采药之用.,<BOS> j i2 | j iang1 # d iao4 | y u2 | t ai2 # h uang2 | w ei3 | y u3 # ch i4 | y u3 # s an1 | d ao3 # sh ang3 | g ei3 # sh eng4 | x uan1 | h uai2 # w ei2 # ch an3 | y e4 | g ong1 # c ai3 | y ao4 # zh i1 | y ong4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000068_000069.wav,{}
69,70,SPK1,用不用我替你捂着嘴.,<BOS> y ong4 # b u2 | y ong4 # w o3 # t i4 # n i3 # w u3 | zh e # z ui3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000069_000070.wav,{}
70,71,SPK1,二敬家住北五环外。上班要去亚运村华堂商场.,<BOS> er4 | j ing4 # j ia1 | zh u4 # b ei3 | w u3 | h uan2 # w ai4 | sh ang4 | b an1 # y ao4 # q u4 # y a4 | y un4 | c un1 # h ua2 | t ang2 # sh ang1 | ch ang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000070_000071.wav,{}
71,72,SPK1,有关能否改控串谋.,<BOS> y ou3 | g uan1 # n eng2 | f ou3 # g ai3 | k ong4 # ch uan4 | m ou2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000071_000072.wav,{}
72,73,SPK1,布吕尼也与前夫哲学家拉斐尔育有一子.,<BOS> b u4 | l v3 | n i2 # y e3 # y u3 # q ian2 | f u1 # zh e2 | x ue2 | j ia1 # l a1 | f ei3 | er3 # y u4 | y ou3 # y i4 | z i3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000072_000073.wav,{}
73,74,SPK1,又有谁肯舍施给他呢?,<BOS> y ou4 # y ou3 # sh ei2 | k en3 # sh e3 | sh i1 # g ei3 # t a1 # n e <EOS>,data/processed/biaobei/mfa_inputs/0/0000073_000074.wav,{}
74,75,SPK1,窃贼露腿自称患麻风病.,<BOS> q ie4 | z ei2 # l u4 | t ui3 # z i4 | ch eng1 # h uan4 # m a2 | f eng1 | b ing4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000074_000075.wav,{}
75,76,SPK1,老祖母以谋杀罪被收押.,<BOS> l ao3 | z u3 | m u3 # y i3 # m ou2 | sh a1 | z ui4 # b ei4 # sh ou1 | y a1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000075_000076.wav,{}
76,77,SPK1,矮矬穷。别瞎夸.,<BOS> ai3 # c uo2 # q iong2 | b ie2 | x ia1 | k ua1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000076_000077.wav,{}
77,78,SPK1,鱼在水里打旋地往外乱蹦.,<BOS> y u2 # z ai4 # sh ui3 | l i3 # d a3 | x uan2 | d e # w ang3 | w ai4 # l uan4 | b eng4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000077_000078.wav,{}
78,79,SPK1,卓文君说|宛如山上雪。皎若云间月.,<BOS> zh uo2 | w en2 | j un1 # sh uo1 | w an3 | r u2 # sh an1 | sh ang4 # x ue3 | j iao3 # r uo4 # y un2 | j ian1 # y ue4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000078_000079.wav,{}
79,80,SPK1,一类苗可谓命运多舛.,<BOS> y i2 | l ei4 # m iao2 # k e3 | w ei4 # m ing4 | y un4 | d uo1 | ch uan3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000079_000080.wav,{}
80,81,SPK1,某小怂快快看看.,<BOS> m ou3 | x iao3 # s ong2 # k uai4 | k uai4 # k an4 | k an4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000080_000081.wav,{}
81,82,SPK1,铁砂掌爱好者张辉表演劈砖.,<BOS> t ie3 | sh a1 | zh ang3 # ai4 | h ao4 | zh e3 # zh ang1 | h ui1 # b iao3 | y an3 # p i1 # zh uan1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000081_000082.wav,{}
82,83,SPK1,而吕业新也被一根檩子压着.,<BOS> er2 # l v3 | y e4 # x in1 # y e3 # b ei4 # y i4 | g en1 # l in3 | z i # y a1 | zh e <EOS>,data/processed/biaobei/mfa_inputs/0/0000082_000083.wav,{}
83,84,SPK1,谆谆叮咛。勿忘天山哺育情.,<BOS> zh un1 | zh un1 # d ing1 | n ing2 | w u4 | w ang4 # t ian1 | sh an1 # b u3 | y u4 # q ing2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000083_000084.wav,{}
84,85,SPK1,现在是道儿越走越宽。人气越搞越旺.,<BOS> x ian4 | z ai4 # sh i4 # d ao4 # er # y ue4 # z ou3 # y ue4 # k uan1 | r en2 | q i4 # y ue4 # g ao3 # y ue4 | w ang4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000084_000085.wav,{}
85,86,SPK1,毋庸讳言。人有记性。亦有忘性.,<BOS> w u2 | y ong1 | h ui4 | y an2 | r en2 | y ou3 # j i4 | x ing4 | y i4 # y ou3 # w ang4 | x ing4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000085_000086.wav,{}
86,87,SPK1,餐后。一行人又陪汪小菲到另一诊所看耳鼻喉科.,<BOS> c an1 | h ou4 | y i4 | x ing2 # r en2 # y ou4 # p ei2 # w ang1 | x iao3 | f ei1 | d ao4 # l ing4 # y i4 # zh en3 | s uo3 # k an4 # er3 | b i2 | h ou2 | k e1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000086_000087.wav,{}
87,88,SPK1,干嘛啊你又来勾搭谁.,<BOS> g an4 | m a # a # n i3 # y ou4 # l ai2 # g ou1 | d a1 # sh ei2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000087_000088.wav,{}
88,89,SPK1,约婉卡与铁托没有孩子.,<BOS> y ue1 | w an3 | k a3 # y u3 # t ie3 | t uo1 # m ei2 | y ou3 # h ai2 | z i <EOS>,data/processed/biaobei/mfa_inputs/0/0000088_000089.wav,{}
89,90,SPK1,受损宋代哥窑青釉葵瓣口盘正面损毁后.,<BOS> sh ou4 | s un3 # s ong4 | d ai4 # g e1 | y ao2 # q ing1 | y ou4 # k ui2 | b an4 # k ou3 | p an2 # zh eng4 | m ian4 # s un3 | h ui3 # h ou4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000089_000090.wav,{}
90,91,SPK1,也欢迎卫生棉厂商找我代言.,<BOS> y e3 # h uan1 | y ing2 # w ei4 | sh eng1 | m ian2 # ch ang3 | sh ang1 # zh ao3 # w o3 # d ai4 | y an2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000090_000091.wav,{}
91,92,SPK1,蝼蚁往还空垄亩。骐麟埋没几春秋.,<BOS> l ou2 | y i3 # w ang3 # h uan2 # k ong1 # l ong3 | m u3 | q i2 | l in2 # m ai2 | m o4 # j i3 # ch un1 | q iu1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000091_000092.wav,{}
92,93,SPK1,如护发和护眼要戴上硅胶泳帽和摘除隐形眼镜.,<BOS> r u2 # h u4 | f a4 # h e2 # h u4 | y an3 # y ao4 # d ai4 # sh ang4 # g ui1 | j iao1 # y ong3 | m ao4 # h e2 # zh ai1 | ch u2 # y in3 | x ing2 | y an3 | j ing4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000092_000093.wav,{}
93,94,SPK1,马浚伟与杨怡等共度生日.,<BOS> m a3 | j un4 | w ei3 # y u3 # y ang2 | y i2 # d eng3 # g ong4 | d u4 # sh eng1 | r i4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000093_000094.wav,{}
94,95,SPK1,省级文保单位满院儿溜达鸡.,<BOS> sh eng3 | j i2 # w en2 | b ao3 # d an1 | w ei4 # m an3 | y uan4 # er2 # l iu1 | d a2 # j i1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000094_000095.wav,{}
95,96,SPK1,图为中山詹园广邀千余游客品尝重阳益寿千叟宴.,<BOS> t u2 | w ei2 # zh ong1 | sh an1 # zh an1 | y uan2 # g uang3 | y ao1 # q ian1 | y u2 # y ou2 | k e4 # p in3 | ch ang2 # ch ong2 | y ang2 # y i4 | sh ou4 # q ian1 | s ou3 | y an4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000095_000096.wav,{}
96,97,SPK1,小文杰全身枯瘦如柴.,<BOS> x iao3 | w en2 | j ie2 # q uan2 | sh en1 # k u1 | sh ou4 # r u2 | ch ai2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000096_000097.wav,{}
97,98,SPK1,秦某用脸盆舀水将火扑灭.,<BOS> q in2 # m ou3 | y ong4 # l ian3 | p en2 # y ao3 | sh ui3 # j iang1 # h uo3 # p u1 | m ie4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000097_000098.wav,{}
98,99,SPK1,安全套做成巫毒娃娃样子.,<BOS> an1 | q uan2 | t ao4 # z uo4 | ch eng2 # w u1 | d u2 | w a2 | w a2 # y ang4 | z i <EOS>,data/processed/biaobei/mfa_inputs/0/0000098_000099.wav,{}
99,100,SPK1,第三是烤鸭缺斤短两.,<BOS> d i4 | s an1 # sh i4 # k ao3 | y a1 # q ue1 | j in1 | d uan3 | l iang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000099_000100.wav,{}
100,101,SPK1,传马伊璃怀上二胎.,<BOS> ch uan2 | m a3 # y i1 | l i2 # h uai2 | sh ang4 # er4 | t ai1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000100_000101.wav,{}
101,102,SPK1,风筝要线。奔马要缰。航船要舵.,<BOS> f eng1 | zh eng1 # y ao4 | x ian4 | b en1 | m a3 # y ao4 # j iang1 | h ang2 | ch uan2 # y ao4 # d uo4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000101_000102.wav,{}
102,103,SPK1,贾媛媛拖高岳上楼.,<BOS> j ia3 | y uan2 | y uan2 # t uo1 # g ao1 | y ue4 # sh ang4 | l ou2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000102_000103.wav,{}
